Pregunta,Opción 1,Opción 2,Opción 3,Opción 4,Respuesta Correcta
¿Qué faraón es conocido por la construcción de la Gran Pirámide de Giza?,Tutankamón,Keops,Ramsés II,Amenofis IV,2
¿Qué civilización desarrolló el sistema de escritura cuneiforme?,Egipcia,Mesopotámica,China,Griega,2
¿Qué rey de Macedonia conquistó el Imperio Persa?,Filipo II,Alejandro Magno,Dario III,Ciro el Grande,2
¿Qué ciudad fue destruida por el volcán Vesubio en el año 79 d.C.?,Herculano,Cartago,Pompeya,Alejandría,3
¿Qué cultura mesoamericana construyó la ciudad de Teotihuacán?,Maya,Azteca,Tolteca,Teotihuacana,4
¿Qué civilización antigua desarrolló los jardines colgantes de Babilonia?,Egipcia,Mesopotámica,Persa,Griega,2
¿En qué año comenzó la construcción de la Gran Muralla China?,221 a.C.,500 d.C.,476 d.C.,300 a.C.,1
¿Qué filósofo griego fue maestro de Alejandro Magno?,Sócrates,Aristóteles,Platón,Pitágoras,2
¿Qué ciudad fue conocida como 'la perla del Mediterráneo' durante la antigüedad?,Cartago,Atenas,Alejandría,Roma,3
¿Qué civilización inventó el concepto de cero?,Egipcia,Mesopotámica,India,China,3
¿Qué figura mitológica es el símbolo de la civilización cretense?,Minotauro,Cíclope,Quimera,Medusa,1
¿Qué río fue fundamental para el desarrollo de la civilización egipcia?,Tigris,Éufrates,Nilo,Amazonas,3
¿Qué lengua hablaban los antiguos sumerios?,Acadio,Sumerio,Egipcio,Persa,2
¿Qué cultura antigua adoraba a dioses como Zeus y Hera?,Egipcia,Romana,Griega,Fenicia,3
¿Qué ciudad fue la capital del Imperio Bizantino?,Roma,Constantinopla,Atenas,Esparta,2
¿Qué civilización construyó Machu Picchu?,Azteca,Maya,Inca,Tolteca,3
¿Qué ciudad fue el centro del Renacimiento en Italia?,Roma,Venecia,Florencia,Milán,3
¿Quién fue el fundador del Imperio Acadio?,Sargón de Acad,Hammurabi,Nabucodonosor,Asurbanipal,1
¿Qué cultura antigua usaba el quipu para registrar información?,Inca,Maya,Azteca,Tolteca,1
¿Qué famoso monumento fue construido en honor a la victoria de Octavio en la batalla de Actium?,El Coliseo,El Foro Romano,El Panteón,El Ara Pacis,4
¿En qué año cayó el Imperio Romano de Occidente?,410 d.C.,476 d.C.,395 d.C.,455 d.C.,2
¿Qué civilización es conocida por la construcción de zigurats?,Egipcia,Sumeria,Griega,Romana,2
¿Quién fue el primer emperador de Roma?,Julio César,Octavio Augusto,Nerón,Tiberio,2
¿Qué dios egipcio era considerado el dios del sol?,Osiris,Horus,Ra,Anubis,3
¿Qué estructura arquitectónica fue construida por el rey Nabucodonosor II?,El Zigurat de Ur,Los Jardines Colgantes,El Templo de Marduk,La Puerta de Ishtar,2
¿Qué pueblo inventó el alfabeto que dio origen al griego y al latino?,Fenicios,Egipcios,Hititas,Persas,1
¿Qué civilización es conocida por la escritura jeroglífica?,Mesopotámica,Egipcia,Maya,Griega,2
¿Qué líder cartaginés cruzó los Alpes con elefantes para invadir Roma?,Aníbal,Asdrúbal,Amílcar,Magón,1
¿Qué antigua ciudad se ubicaba en la actual Turquía y era famosa por su guerra narrada en la Ilíada?,Troya,Éfeso,Pérgamo,Sardes,1
¿Qué cultura antigua desarrolló el primer código legal escrito?,Egipcia,Sumeria,Babilónica,Hitita,3
¿Qué templo en Atenas es considerado un símbolo de la antigua Grecia?,El Partenón,El Erecteion,El Templo de Zeus,El Templo de Apolo,1
¿Qué civilización inventó la pólvora?,China,Egipcia,Persa,Griega,1
¿Qué rey persa inició las guerras médicas contra los griegos?,Darío I,Jerjes I,Ciro el Grande,Artajerjes,1
¿Qué civilización construyó la ciudad de Petra?,Nabataea,Persa,Fenicia,Egipcia,1
¿Qué civilización es conocida por el calendario de 365 días?,Egipcia,China,Maya,Romana,1
